acl 2.2.53-2
librsvg 2:2.46.3+6+g4735bd07-1
libsamplerate 0.1.9-2
libsasl 2.1.27-1
libseccomp 2.4.1-2
libsecret 0.19.1-1
libsigc++ 2.10.2-1
libsm 1.2.3-1
libsndfile 1.0.28-2
libsoup 2.68.2-1
libsoxr 0.1.3-1
libspiro 1:20190731-1
libssh 0.9.2-1
libssh2 1.9.0-1
libtasn1 4.14-2
libthai 0.1.28-1
libtheora 1.1.1-4
libtiff 4.1.0-1
libtirpc 1.1.4-1
libtool 2.4.6+42+gb88cebd5-6
libunistring 0.9.10-1
libunwind 1.3.1-1
libusb 1.0.23-1
libutempter 1.1.6-3
libutil-linux 2.34-6
libva 2.5.0-1
libvdpau 1.3-1
libvorbis 1.3.6-1
libvpx 1.8.1-1
libwacom 1.1-1
libwebp 1.0.3-1
libwmf 0.2.12-1
libx11 1.6.9-3
libxau 1.0.9-1
libxaw 1.0.13-2
libxcb 1.13.1-1
libxcomposite 0.4.5-1
libxcursor 1.2.0-1
libxdamage 1.1.5-1
libxdmcp 1.1.3-1
libxext 1.3.4-1
libxfce4ui 4.14.1-2
libxfce4util 4.14.0-1
libxfixes 5.0.3-2
libxfont2 2.0.4-1
libxft 2.3.3-1
libxi 1.7.10-1
libxinerama 1.1.4-1
libxkbcommon 0.9.1-1
libxkbcommon-x11 0.9.1-1
libxkbfile 1.1.0-1
libxklavier 5.4-2
libxml2 2.9.9-6
libxmu 1.1.3-1
libxpm 3.5.12-2
libxrandr 1.5.2-1
libxrender 0.9.10-2
libxshmfence 1.3-1
libxslt 1.1.33-1
libxss 1.2.3-1
libxt 1.2.0-1
libxtst 1.2.3-2
libxv 1.0.11-2
libxxf86vm 1.1.4-2
licenses 20191011-1
lightdm 1:1.30.0-2
linux 5.3.11.1-1
linux-api-headers 5.3.1-1
llvm-libs 9.0.0-4
lm_sensors 3.6.0-1
lua 5.3.5-2
luajit 2.0.5-2
lz4 1:1.9.2-1
lzo 2.10-2
make 4.2.1-3
man-db 2.9.0-1
mesa 19.2.4-1
metis 5.1.0.p6-1
minizip 1:1.2.11-3
mkinitcpio 27-2
mkinitcpio-busybox 1.30.1-1
mpfr 4.0.2-1
mtdev 1.1.5-2
mypaint-brushes1 1.3.0-1
nano 4.5-1
ncurses 6.1-6
neofetch 6.1.0-1
nettle 3.5.1-1
nmap 7.80-1
npth 1.6-1
nspr 4.23-1
nss 3.47-1
obconf 2.0.4-6
obmenu 1.0-12
obmenu-generator 0.86-1
openbox 3.6.1-5
opencore-amr 0.1.5-2
openexr 2.4.0-6
openjpeg2 2.3.1-1
openssh 8.1p1-1
openssl 1.1.1.d-1
opus 1.3.1-1
orc 0.4.31-1
os-prober 1.77-1
p11-kit 0.23.18.1-1
pacman 5.2.1-1
pacman-contrib 1.2.0-3
pacman-mirrorlist 20191001-1
pam 1.3.1-1
pambase 20190105.1-1
pango 1:1.44.7-1
pango-perl 1.227-11
pangomm 2.42.0-1
patch 2.7.6-8
pavucontrol 1:4.0-1
pciutils 3.6.2-1
pcre 8.43-1
pcre2 10.33-1
perl 5.30.1-1
perl-data-dump 1.23-5
perl-error 0.17028-1
perl-linux-desktopfiles 0.25-2
perl-mailtools 2.21-2
perl-timedate 2.30-6
perl-uri 1.76-2
pinentry 1.1.0-4
pixman 0.38.4-1
polkit 0.116-3
poppler-data 0.4.9-1
popt 1.16-10
procps-ng 3.3.15-1
psmisc 23.3-1
pulseaudio 13.0-2
pulsemixer 1.5.0-2
pygobject-devel 3.34.0-3
pygobject2-devel 2.28.7-3
pygtk 2.24.0-8
python 3.8.0-1
python-appdirs 1.4.3-5
python-cairo 1.18.2-3
python-gobject 3.34.0-3
python-packaging 19.2-5
python-pyalsa 1.1.6-5
python-pyparsing 2.4.5-1
python-setuptools 1:41.2.0-5
python-six 1.13.0-2
python2 2.7.17-1
python2-cairo 1.18.2-3
python2-gobject2 2.28.7-3
qt5-base 5.13.2-2
qt5-declarative 5.13.2-1
qt5-svg 5.13.2-1
ranger 1.9.2-2
re2 20191101-1
readline 8.0.001-1
rest 0.8.1-1
ripgrep 11.0.2-1
rtkit 0.12-1
sddm 0.18.1-1
